Image ID,Street Names,Crosswalk ID,Center ID,1-way or 2-way?,Lux (toward car),Average Lux (toward car),Lux (away from car),Average Lux (away from car),Perceived Contrast,Perceived Visibility (1-5),Net lux,Contrast Aligned,
D9814,Exeter & Commonwealth (to),4484,B,1-way,"2.8, 2.7",2.75,"9.9, 8.5",9.2,Negative,1,6.45,TRUE,
D9817,Exeter & Newbury (from),10831,B,1-way,"76.2, 88.3",82.25,"14.4, 12.7",13.55,Positive ,5,-68.7,TRUE,
D9815,Commonwealth & Exeter (from),12094,B,1-way,"0,0",0,"5.8, 7.7",6.75,No,1,6.75,FALSE,
D9802,Prince St & Salem St,13881,A,1-way,"13.9, 13.4",13.65,"4.9, 5",4.95,Positive,4,-8.7,FALSE,
D9819,Exeter & Newbury (to),27710,B,1-way or 2-way?,"20.3, 19.8",20.05,"6, 5.6",5.8,Positive ,4,-14.25,FALSE,
D9825,Academic & Western,32242,A,2-way,"7.5, 6.5",7,"24.3, 24.9",24.6,No,3,17.6,FALSE,
M2018,Academic & Western,32242,B,2-way,"26.5, 21.5",24,"7.9, 7.6",7.75,Positive,5,-16.25,TRUE,
D9811,Exeter & Marlborough (from),33939,B,1-way,"10.4, 12.4",11.4,"10.7, 10.5",10.6,No,3,-0.8,FALSE,
D9830,Antwerp,35827,B,1-way,"4.6, 3.4",4,"3.3, 3.3",3.3,Positive,4,-0.7,TRUE,
D9833,Gould & Telford,35932,B,1-way,"7.4, 8",7.7,"3.6, 3.7",3.65,Positive,3,-4.05,TRUE,
D9812,Marlborough & Exeter (from),36440,B,1-way,"2, 2.4",2.2,"2.2, 0",1.1,Negative,1,-1.1,TRUE,
D9816,Exeter & Commonwealth (from),36998,B,1-way,"3.5, 3.1",3.3,"5.2, 5.9",5.55,No,1,2.25,FALSE,
M5416,Academic & Western,39907,A,2-way,"21.1, 20.6",20.85,"8.2, 8.5",8.35,No,5,-12.5,TRUE,
D9826,Academic & Western,39907,B,2-way,"8.6, 8.2",8.4,"22.6, 22.4",22.5,No,4,14.1,TRUE,
D9831,Gould (to),40281,B,1-way,"0,0",0,"4.9, 5",4.95,Negative,1,4.95,FALSE,
M4167,Exeter & Beacon (to),41293,B,1-way,"0,0",0,"5.2, 2.1",3.65,Negative,1,3.65,FALSE,
M4672,Travis & Western,41984,A,2-way,"5, 5",5,"6.7, 7.6",7.15,No,3,2.15,TRUE,
D9828,Travis & Western,41984,B,2-way,"7, 7.5",7.25,"5, 4.9",4.95,No,3,-2.3,FALSE,
D9832,Gould (from),42408,B,1-way,"3.2, 3.4",3.3,"2, 1.8",1.9,No,2,-1.4,TRUE,
D9824,Western & Academic,43070,A,2-way,"16.7, 17.4",17.05,"6.1, 6",6.05,Negative,3,-11,FALSE,
M8323,Western & Academic,43070,B,2-way,"17.2, 18.8",18,"4.8, 4.4",4.6,Positive,5,-13.4,FALSE,
D9809,Beacon & Exeter (to),43286,B,1-way,"4.5, 2.8",3.65,"26.2, 22",24.1,Negative,2,20.45,FALSE,
D9810,Beacon & Exeter (from),43774,B,1-way,"5, 4.4",4.7,"10.7, 10.7",10.7,Negative,3,6,FALSE,
M0875,Western & Travis,44026,A,2-way,"12.9, 14.2",13.55,"25.4, 24.7",25.05,No,4,11.5,FALSE,
D9827,Western & Travis,44026,B,2-way,"23.1, 23.7",23.4,"15.1, 14.6",14.85,Negative,4,-8.55,TRUE,
M9196,Commercial & Foster St,49144,A,2-way,"6.9, 1.8",4.35,"5.3, 19",12.15,Positive,5,7.8,TRUE,
D9795,Commercial St & Foster St,49144,B,2-way,"20, 16.4",18.2,"10.3, 10.2",10.25,Positive,4,-7.95,FALSE,
D9801,Prince St & Salem St,50924,A,1-way,"6.2, 7.1",6.65,"15.4, 13.5",14.45,Positive,2,7.8,FALSE,
D9813,Exeter & Marlborough (to),51519,B,1-way,"5.2, 7.3",6.25,"63.3, 73.7",68.5,Negative,4,62.25,FALSE,
D9806,Fulton St (next to rehab),52672,B,1-way,"1.6, 1.8",1.7,"14.2, 14.8",14.5,Negative,2,12.8,TRUE,
D9807,Fulton St (across from rehab),54546,A,1-way,"5.1, 5.3",5.2,"4.2, 3.9",4.05,No,2,-1.15,FALSE,
D9818,Newbury & Exeter (from),55693,B,1-way,"28.8, 27.3",28.05,"11.5, 10.7",11.1,No,5,-16.95,FALSE,
D9804,Prince St & Hanover St,58125,A,2-way,"22.5, 31.7",27.1,"9.5, 9.7",9.6,Positive ,5,-17.5,FALSE,
M7113,Prince St & Hanover St,58125,B,1-way,"11.9, 10.2",11.05,"54.3, 43.4",48.85,Positive ,4,37.8,FALSE,
D9805,Richmond St,59671,A,1-way,"1.9, 1.9",1.9,"10.9, 11",10.95,Positive ,3,9.05,FALSE,
